StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q33,Q34,Q35,baseline_timer_First Click,baseline_timer_Last Click,baseline_timer_Page Submit,baseline_timer_Click Count,Q30,baseline_learning,main1_timer_First Click,main1_timer_Last Click,main1_timer_Page Submit,main1_timer_Click Count,main2_timer_First Click,main2_timer_Last Click,main2_timer_Page Submit,main2_timer_Click Count,main2_satisficing,main_pre_timer_First Click,main_pre_timer_Last Click,main_pre_timer_Page Submit,main_pre_timer_Click Count,main_pre_prompt_q,prompt_a1_timer_First Click,prompt_a1_timer_Last Click,prompt_a1_timer_Page Submit,prompt_a1_timer_Click Count,prompt_arch_timer_First Click,prompt_arch_timer_Last Click,prompt_arch_timer_Page Submit,prompt_arch_timer_Click Count,prompt_curb_appeal_t_First Click,prompt_curb_appeal_t_Last Click,prompt_curb_appeal_t_Page Submit,prompt_curb_appeal_t_Click Count,prompt_control_timer_First Click,prompt_control_timer_Last Click,prompt_control_timer_Page Submit,prompt_control_timer_Click Count,post_timer_First Click,post_timer_Last Click,post_timer_Page Submit,post_timer_Click Count,post_q,end_timer_First Click,end_timer_Last Click,end_timer_Page Submit,end_timer_Click Count,end_q,Q_TotalDuration,MTurkCode,end_q - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I am age 18 or older.,I have read and understand the information above.,I want to participate in this research.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Are you involved in housing sales and development (e.g. real estate agent, construction worker, interior decorator, architect)?","Have you tried to purchase a house (or condo, townhouse, etc) in the past ten years?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"So.... we need to make sure you've got your mind engaged because we need you to be creative in a minute. Here's our first check: 

On the prior screen you were asked to look at a photograph. Which animals were visible in the photograph (Click all that apply)?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Guidance: Read the following prompt and answer the question as best you can. 

Prompt: Look at the following photograph.

 



 

Task: Please provide at least four sentences describing the house.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Prompt: Look at the following photograph.  



Task: Please provide at least four sentences describing the house.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Thank you for participating in this study. If there are any items you would like to discuss please feel free to do so in the box below. Please do not include anything that is identifiable and private about yourself or others.,Q_TotalDuration,MTurkCode,end_q - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID1""}","{""ImportId"":""QID25_FIRST_CLICK""}","{""ImportId"":""QID25_LAST_CLICK""}","{""ImportId"":""QID25_PAGE_SUBMIT""}","{""ImportId"":""QID25_CLICK_COUNT""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID26_FIRST_CLICK""}","{""ImportId"":""QID26_LAST_CLICK""}","{""ImportId"":""QID26_PAGE_SUBMIT""}","{""ImportId"":""QID26_CLICK_COUNT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID16_FIRST_CLICK""}","{""ImportId"":""QID16_LAST_CLICK""}","{""ImportId"":""QID16_PAGE_SUBMIT""}","{""ImportId"":""QID16_CLICK_COUNT""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID18_FIRST_CLICK""}","{""ImportId"":""QID18_LAST_CLICK""}","{""ImportId"":""QID18_PAGE_SUBMIT""}","{""ImportId"":""QID18_CLICK_COUNT""}","{""ImportId"":""QID41_FIRST_CLICK""}","{""ImportId"":""QID41_LAST_CLICK""}","{""ImportId"":""QID41_PAGE_SUBMIT""}","{""ImportId"":""QID41_CLICK_COUNT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID19_FIRST_CLICK""}","{""ImportId"":""QID19_LAST_CLICK""}","{""ImportId"":""QID19_PAGE_SUBMIT""}","{""ImportId"":""QID19_CLICK_COUNT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""MTurkCode""}","{""ImportId"":""QID8_TEXT_8e206649e78e440d980f675aTopics""}"
2017-12-02 12:02:20,2017-12-02 12:15:27,IP Address,69.120.158.57,100,786,True,2017-12-02 12:15:27,R_3D74C7XiDQTddT2,,,,,40.745803833008,-74.032096862793,anonymous,EN,Yes,Yes,Yes,8.814,11.532,13.389,2,Definitely not,No,0,0,17.09,0,4.775,4.775,5.818,1,,5.422,227.471,228.062,14,"The house has beautiful landscaping, including a flower-lined walkway, shrubs and a small tree in the front yard. The facade is a combination of stone and red brick. There are several windows on every floor, including large bay windows on the ground floor. The front door and entryway is encased in a beautiful brick archway. The house sits just next to the street on one side.",41.275,62.077,62.788,2,,,,,,,,,,,,,116.249,402.093,412.289,16,The house is a beautiful Georgian-style home. It is characterized as such by its perfect symmetry and arched entryway. There are three dormers on the roof with small window-panes. That is in addition to the neatly symmetrical rows of windows on each lower floor. A black iron fence separates the home from the sidewalk.,1.092,1.092,10.444,1,,786,7458701897,
2017-12-02 14:16:10,2017-12-02 14:20:31,IP Address,97.125.115.24,100,260,True,2017-12-02 14:20:31,R_3pyIyKy7f8Ot1IZ,,,,,43.716293334961,-123.03739929199,anonymous,EN,Yes,Yes,Yes,9.263,12.862,13.814,2,Definitely not,No,0,0,12.348,0,6.863,6.863,8.195,1,,10.154,10.154,78.176,1,"stately european style. 3 stories, compact and spacoius at the same time. Symmetrical front with mature plantings. Dormer windows on 3rd floor",,,,,,,,,,,,,44.374,44.374,52.883,1,4.43,54.455,54.98,2,"american colonial on aa city street. 3 stories, dormers on 3rd floor. small lot filled with large house. close to neighbors",0,0,4.192,0,,260,9085197732,
2017-12-02 18:45:11,2017-12-02 19:01:06,IP Address,162.226.190.29,100,955,True,2017-12-02 19:01:06,R_2bK3k1STub6Gmhd,,,,,33.870300292969,-117.92530059814,anonymous,EN,Yes,Yes,Yes,9.894,11.321,12.189,2,Definitely not,No,0,0,9.014,0,8.661,8.661,10.096,1,,4.381,6.401,65.934,3,The house makes extensive use of red brick. Its windows are white and orderly along the face of the structure. The landscaping is nicely done with a small tree and various flowers. The house appears to be housing several bedrooms and is two stories tall.,,,,,0,0,744.965,0,,,,,,,,,1.153,4.149,83.389,3,This house is a typical Georgian house. It is made of what appears to be stone or brick. The sash windows are symmetrical about the front door. The windows contain 12 panes each.,0.697,0.697,3.165,1,,955,7203095071,
2017-12-03 15:04:36,2017-12-03 15:13:17,IP Address,98.93.212.121,100,520,True,2017-12-03 15:13:17,R_3PLgqnLyQfLVGqB,,,,,37.766204833984,-87.259101867676,anonymous,EN,Yes,Yes,Yes,12.347,16.379,18.745,2,Definitely not,Yes,0,0,10.731,0,21.137,21.137,22.424,1,,13.623,95.433,186.041,4,"beautiful english cottage.. large house with window seats in the front, pretty yard, landscaping is great.well kept house",,,,,,,,,,,,,0,0,54.666,0,3.814,4.028,62.045,2,very old house with  lots of history. if this house could talk it would alot of stories to tell. historic building,71.951,71.951,89.204,1,is was a great hit to do,520,6019990947,Unknown
2017-12-06 22:20:32,2017-12-06 22:22:46,IP Address,173.244.48.44,100,134,True,2017-12-06 22:22:47,R_2VJjgMilTPFPm1f,,,,,34.054397583008,-118.2440032959,anonymous,EN,Yes,Yes,Yes,1.85,2.579,3.139,2,Definitely not,Yes,0,0,0.591,0,2.387,2.387,2.977,1,,0.618,0.618,45.532,1,The house has two stories. In the front is a lush garden with beautiful colors. It's made in a colonial style. It's a sturdy build with brick.,,,,,,,,,0,0,9.463,0,,,,,0.651,0.651,52.893,1,"The house has a lot of brown and red tones. It's made mostly of brick with white trimming on the windows and front door. It's two stories with a third story, or attic. It has a sloped roof with slate.",0,0,5.097,0,,134,3623715853,
2017-12-06 22:31:36,2017-12-06 22:45:44,IP Address,108.194.200.239,100,847,True,2017-12-06 22:45:44,R_2CeqfbOQUH6dXTi,,,,,29.549606323242,-90.588798522949,anonymous,EN,Yes,Yes,Yes,15.911,24.729,25.74,4,Not really,Yes,1.7,3.822,12.895,2,37.059,38.496,59.589,2,,2.862,202.075,202.731,7,This house has a beautiful front yard. It has many windows to let the sunlight shine through.  The house is a wonderful stone color with red trim and roof.  This house looks like something straight from a jigsaw puzzle.  This house is very tradional.,3.805,164.113,164.55,3,,,,,,,,,,,,,1.662,161.313,163.987,5,This house is Georgian Style.  The house has a ton of space.  It also has lots of windows so you can let the sunlight in.  This house is made with brick.,1.106,5.798,52.961,2,I tried to do my best at describing.  Thank you for the opportunity.,847,206683902,
2017-12-06 22:42:46,2017-12-06 22:48:36,IP Address,98.19.248.55,100,349,True,2017-12-06 22:48:36,R_1d5NZbq8S6kJ4KJ,,,,,35.339492797852,-92.389503479004,anonymous,EN,Yes,Yes,Yes,11.014,15.926,16.796,3,Definitely not,No,7.172,15.966,16.336,2,7.395,7.395,8.434,1,,2.853,2.853,82.23,1,The house is very semetrical.  It has the same number of type of windows. There is a chimney on each end of the house. The front windows are matching on each floor.,0,0,8.154,0,,,,,,,,,,,,,0,0,130.374,0,The house is semetrical.  The house is what I would call colonial style.  It is brick. The house is stately.,13.423,13.423,24.047,1,Thank you for allowing me to complete your survey.,349,8922191839,
2017-12-06 22:30:22,2017-12-06 22:52:31,IP Address,73.45.6.100,100,1329,True,2017-12-06 22:52:32,R_3noxHdO7cHMjXWd,,,,,41.903793334961,-87.67569732666,anonymous,EN,Yes,Yes,Yes,12.952,16.236,17.222,4,Definitely not,Yes,0.962,0.962,3.901,1,7.109,7.109,8.071,1,,2.897,249.582,250.508,17,"The house is beautiful with a immaculate yard. It appears to be a four-five bedroom, reddish color brick home. It has a chimney on top and the windows and doors has a similar look to it. The home looks spacious, not a mansion but not a small house either.",,,,,,,,,,,,,5.405,51.32,75.696,6,1.449,254.48,259.183,6,"It is a brick styled home with nine windows, so I assume there is several rooms. The home does not have a porch and it appears to be created earlier in 20th century. It is very very well kept, with a maintained yard. the window sills is all white including the door.",0.998,7.351,19.338,2,"Good study! ",1329,9618654032,
