arm,pre_q_original,post_q_original,pre_q,post_q
arch_strong,The house has a red roof.  It is brick on the outside.  It has a paved driveway.  It has large bay windows.,The house appears to have 3 stories.  it has two chimneys.  It has 12 windows on the front.  The front door has a rain covering.,the house have a red roof. it be brick on the outside. it have a pave driveway. it have large bay window.,the house appear to have 3 story. it have two chimney. it have 12 window on the front. the front door have a rain cover.
arch_strong,"The house has two chimneys, one at each end.  The roof is red in color, and has 3 narrow dormers with windows.  It is two stories overall, and has a mostly gray brick exterior with red brick trimmings.  The main floor has two bay windows, and the entryway is a protruding red brick structure.  There is a small tree to the left in front of the house, and flower beds all the way across the front of the house.","The house has a Georgian style, and is very symmetrical.  There are matching chimneys on each end of the house, and the roof has three dormers spaced evenly.  The second story has five windows spaced evenly (with three of them directly under the dormer windows), and the windows of the first floor align with the dormers and second story windows.  Where the middle window would be on the first floor is the entry door.  The exterior is composed of gray stone with red brick trimmings.","the house have two chimney, one at each end. the roof be red in color, and have 3 narrow dormer with window. it be two story overall, and have a mostly gray brick exterior with red brick trim. the main floor have two bay window, and the entryway be a protrude red brick structure. there be a small tree to the leave in front of the house, and flower bed all the way across the front of the house.","the house have a georgian style, and be very symmetrical. there be match chimney on each end of the house, and the roof have three dormer space evenly. the 2 story have five window space evenly ( with three of them directly under the dormer window ), and the window of the first floor align with the dormer and 2 story window. where the middle window would be on the first floor be the entry door. the exterior be compose of gray stone with red brick trim."
arch_strong,It's a red/gray brick house.  Appears to be 2 stories as well as having a attic.  2 Chimneys.  Has a nice front garden area with trees and flowers.,Roof angle appears to be fairly steep.  It's symetric with the windows and chimneys.   It is a brick house mostly gray with some red.  Has the red outlining the windows and separating the floors.,it's a red / gray brick house. appear to be 2 story as good as have a attic. 2 chimney. have a nice front garden area with tree and flower.,roof angle appear to be fairly steep. it's symetric with the window and chimney. it be a brick house mostly gray with some red. have the red outline the window and separate the floor.
arch_strong,"The House is brick.
The house has two fireplaces.
The house is landscaped beautifully.
The house appears to be on a road.","The house is brick.
The house has 12 front facing windows.
The house has houses very close to it.
The house has minimal landscaping.
",the house be brick. the house have two fireplace. the house be landscape beautifully. the house appear to be on a road.,the house be brick. the house have 12 front face window. the house have house very close to it. the house have minimal landscape.
arch_strong,The house looks to quite small. It has a dark orange brick pattern with a gray face. Its window sets are white and the front yard is lush with greenery. There are red and magenta flowers in the front yard that cover are placed across the entire front of the house.,"It is a two-story building built with mostly tan-shaded bricks. There are 12 windows placed across the front of the face. The house has a steep slanted roof where the three smallest windows are placed across. There is a gate in front of the front-door, and it does not have much greenery around it. There are two leafless trees in front of the house on either side.",the house look to quite small. it have a dark orange brick pattern with a gray face. its window set be white and the front yard be lush with greenery. there be red and magenta flower in the front yard that cover be place across the entire front of the house.,"it be a two - story build build with mostly tan - shade brick. there be 12 window place across the front of the face. the house have a steep slant roof where the three small window be place across. there be a gate in front of the front - door, and it do not have much greenery around it. there be two leafless tree in front of the house on either side."
arch_strong,It's a three story house. It's got brick work on the front. It has bay windows with white trim. It has two chimneys.,It has five windows across. It has two chimneys. It has a two stories (I think three with the attic). It has dormer windows. It has a extruding projection over the door.,it's a three story house. it's get brick work on the front. it have bay window with white trim. it have two chimney.,it have five window across. it have two chimney. it have a two story ( i think three with the attic ). it have dormer window. it have a extrude projection over the door.
arch_strong,It has an original sort of style to it. The red bricks surrounding the windows and along the front of the house are very attractive. The gray and red bricks together offset one another nicely. Its also surrounded by a lot of greenery with some colorful flowers that really make a pleasant scene.,This house has an old feeling to it. It has neutral colored bricks accented by red and white surrounding the windows. The windows are large with many panes of glass giving it a strong visual. The peaks on both side of the roof also help give it a solid strong look.,it have a original sort of style to it. the red brick surround the window and along the front of the house be very attractive. the gray and red brick together offset one another nicely. its also surround by a lot of greenery with some colorful flower that really make a pleasant scene.,this house have a old feel to it. it have neutral color brick accent by red and white surround the window. the window be large with many pane of glass give it a strong visual. the peak on both side of the roof also help give it a solid strong look.
arch_strong,An older style European house. Brick construction with two fireplaces. Two floors with a full size attic. Large windows including two bay windows.,A typical Georgian style home. A two story brick home with symmetrical windows. Multi-pane windows and a center door. Also has a side-gabled roof.,a old style european house. brick construction with two fireplace. two floor with a full size attic. large window include two bay window.,a typical georgian style home. a two story brick home with symmetrical window. multi - pane window and a center door. also have a side - gabled roof.
arch_strong,"This is a lovely red brick two story home. It has beautiful windows and a red brick trim that follow the whole home. The landscape is beautifully set with bright flowers that give a nice homey feel. This home gives a nice starter home feel, for a family to be or to expand a current family's living space.","This is a lovely vintage home that can transport any person to the simple living of the past. It features a two story window pained, brick home. Its sturdy features would stand the test of time. The simple black fence and door to match offer an updated feel, without taking away from the vintage feel. The white window trim pops against the warm brown brick exterior that would warm any family during the winter as it stands apart in the whole neighborhood.","this be a lovely red brick two story home. it have beautiful window and a red brick trim that follow the whole home. the landscape be beautifully set with bright flower that give a nice homey feel. this home give a nice starter home feel, for a family to be or to expand a current family's live space.","this be a lovely vintage home that can transport any person to the simple live of the past. it feature a two story window pain, brick home. its sturdy feature would stand the test of time. the simple black fence and door to match offer a update feel, without take away from the vintage feel. the white window trim pop against the warm brown brick exterior that would warm any family during the winter as it stand apart in the whole neighborhood."
arch_strong,Two-story colonial style home. It's got a brick facade and bay windows. The front yard has an assortment of colorful flowers. The windows on the second floor is outlined in red brick.,"Another two-story colonial house. This one has no bay windows, but still maintains a brick facade. There is no substantial front yard. It appears to be a modest front yard leading to the sidewalk.",two - story colonial style home. it's get a brick facade and bay window. the front yard have a assortment of colorful flower. the window on the 2 floor be outline in red brick.,"another two - story colonial house. this one have no bay window, but still maintain a brick facade. there be no substantial front yard. it appear to be a modest front yard lead to the sidewalk."
